endTime,artistName,trackName,msPlayed
2022-01-13 03:34,Otilia,Prisionera - Radio Edit,2011
2022-01-13 03:36,Daddy Yankee,Con Calma,101131
2022-01-13 08:34,Nucleya,Heer,1159
2022-01-13 08:34,Nucleya,Mumbai Dance,30111
2022-01-13 10:25,Destiny Rogers,Tomboy,203445
2022-01-13 10:25,Dua Lipa,Kiss and Make Up,7501
2022-01-13 10:28,Bebe Rexha,I'm a Mess,195513
2022-01-13 10:31,Ava Max,Kings & Queens,162398
2022-01-13 10:34,Daya,"Sit Still, Look Pretty",200714
2022-01-13 10:36,Ellie Goulding,"Love Me Like You Do - From ""Fifty Shades Of Grey""",4220
2022-01-13 10:36,CHUNG HA,Bad Boy,8245
2022-01-13 10:36,Ava Max,Kings & Queens,9474
2022-01-13 10:36,Doja Cat,Say So,13723
2022-01-13 10:36,Ariana Grande,"thank u, next",76255
2022-01-13 10:40,Marshmello,FRIENDS,202620
2022-01-13 10:41,BTS,Film out,15296
2022-01-13 10:41,The Weeknd,Pray For Me (with Kendrick Lamar),0
2022-01-13 10:43,SLANDER,Love Is Gone - Acoustic,176971
2022-01-13 10:47,Amber Van Day,Kids In The Corner,206380
2022-01-13 10:50,The Weeknd,Save Your Tears (with Ariana Grande) (Remix),191008
2022-01-13 10:55,Anna Hamilton,Bad Liar,248448
2022-01-13 10:59,Halsey,Without Me,201643
2022-01-13 11:02,Dua Lipa,New Rules,209306
2022-01-13 11:07,The Chainsmokers,Closer,244960
2022-01-13 11:11,Maroon 5,Girls Like You (feat. Cardi B) - Cardi B Version,235545
2022-01-13 11:15,Selena Gomez,Wolves,197974
2022-01-13 11:20,Anne-Marie,2002,52075
2022-01-14 03:21,Mohit Chauhan,Matargashti,328052
2022-01-14 03:26,Jay Sean,Ride It (Kya Yehi Pyar Hai),193706
2022-01-14 03:31,Hitesh Modak,"Hawaa Banke (From ""Yeh Saali Aashiqui"")",272529
2022-01-14 03:35,Hitesh Modak,"Hawaa Banke (From ""Yeh Saali Aashiqui"")",272529
2022-01-14 03:39,Romy,Tu Lagdi Ferrari,180047
2022-01-14 03:40,Neeraj Shridhar,"Tum Hi Ho Bandhu (From ""Cocktail"")",60001
2022-01-14 09:52,Marshmello,FRIENDS,202620
2022-01-14 09:56,Destiny Rogers,Tomboy,203445
2022-01-14 09:59,Bebe Rexha,I'm a Mess,195513
2022-01-14 10:03,Ava Max,Kings & Queens,162398
2022-01-14 10:06,Dua Lipa,Kiss and Make Up,189173
2022-01-14 10:09,Daya,"Sit Still, Look Pretty",200714
2022-01-14 10:13,Ariana Grande,"thank u, next",207309
2022-01-14 10:17,Little Mix,Shout Out to My Ex,246225
2022-01-14 10:21,BLACKPINK,Kill This Love,189052
2022-01-14 10:24,Lady Gaga,Rain On Me (with Ariana Grande),182185
2022-01-14 10:27,Dua Lipa,IDGAF,217943
2022-01-14 10:30,Ava Max,Sweet but Psycho,187432
2022-01-14 10:34,Zara Larsson,Ruin My Life,190915
2022-01-14 10:34,CHUNG HA,Bad Boy,6449
2022-01-14 14:02,Alan Walker,Faded,30095
2022-01-14 14:03,CHUNG HA,Bad Boy,20610
2022-01-14 14:06,Miss Pooja,"Second Hand Jawaani (From ""Cocktail"")",110086
2022-01-14 14:11,Arif Lohar,"Jugni (from ""Cocktail"")",284976
2022-01-14 14:15,Imran Aziz,"Mein Sharabi (From ""Cocktail"")",265830
2022-01-14 16:10,Imran Aziz,"Mein Sharabi (From ""Cocktail"")",22369
2022-01-14 16:10,Arif Lohar,"Jugni (from ""Cocktail"")",33
2022-01-14 16:13,Miss Pooja,"Second Hand Jawaani (From ""Cocktail"")",110086
2022-01-14 16:16,Zedd,Stay,197166
2022-01-14 16:26,Miss Pooja,"Second Hand Jawaani (From ""Cocktail"")",242159
2022-01-14 16:32,Shankar-Ehsaan-Loy,Life Is Crazy,221705
2022-01-14 16:37,Pritam,Ilahi,234875
2022-01-14 17:00,Sunidhi Chauhan,Yaariyan (reprise),1088
2022-01-14 17:01,The Open Podcast - Podcast By An Open Letter,E40 — Third Wave in India: Omicron Saga Part 2,2449
2022-01-14 17:01,Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,0
2022-01-14 17:15,The Open Podcast - Podcast By An Open Letter,E39 — The Omicron Saga: Part 1,826321
2022-01-14 17:36,The Open Podcast - Podcast By An Open Letter,E40 — Third Wave in India: Omicron Saga Part 2,1232825
