"endTime","artistName","trackName","msPlayed"
"2023-12-25 14:30","Dire Straits","Sultans Of Swing",348400
"2023-12-25 14:33","Van Halen","Runnin' with the Devil - 2015 Remaster",214960
"2023-12-25 14:35","Eagles","Victim of Love - 2013 Remaster",83283
"2023-12-26 02:35","Queen","We Are The Champions - Remastered 2011",7163
"2023-12-26 02:37","Queen","We Will Rock You - Remastered 2011",122066
"2023-12-26 02:40","Queen","We Are The Champions - Remastered 2011",179200
"2023-12-26 02:41","Queen","Sheer Heart Attack - Remastered 2011",52280
"2023-12-26 02:44","Queen","Death On Two Legs (Dedicated To...) - Remastered 2011",223920
"2023-12-26 02:45","Queen","Lazing On A Sunday Afternoon - Remastered 2011",67385
"2023-12-26 02:46","Queen","I'm In Love With My Car - Remastered 2011",21280
"2023-12-26 02:50","Yuvan Shankar Raja","Povodhe Prema",274933
"2023-12-26 02:53","Farhan Akhtar","Pichle Saat Dinon Mein (Album Version)",187942
"2023-12-26 02:58","Vijay Prakash","Hello Rammante",281965
"2023-12-26 03:05","Farhan Akhtar","Sinbad The Sailor",387262
"2023-12-26 03:09","The Local Train","Choo Lo",233630
"2023-12-26 03:15","Ankit Tiwari","Sunn Raha Hai (Male Version)",332735
"2023-12-26 03:42","Slash","The Godfather Solo - Live",398975
"2023-12-26 04:04","Cream","Sunshine Of Your Love",2098
"2023-12-26 04:04","Green Day","21 Guns",267341
"2023-12-26 04:04","Green Day","Last Night on Earth",819
"2023-12-26 04:07","My Chemical Romance","Teenagers",161920
"2023-12-26 04:15","Led Zeppelin","Stairway to Heaven - Remaster",482830
"2023-12-26 05:00","Eagles","Victim of Love - 2013 Remaster",213940
"2023-12-26 07:06","Eagles","Victim of Love - 2013 Remaster",1256
"2023-12-26 07:12","The Beatles","Here Comes The Sun - Remastered 2009",48484
"2023-12-26 07:14","Pink Floyd","Shine On You Crazy Diamond (Pts. 1-5)",262613
"2023-12-26 07:15","The Beatles","Let It Be - Remastered 2009",163447
"2023-12-26 07:26","Pink Floyd","Comfortably Numb",253942
"2023-12-26 07:37","Guns N' Roses","Sweet Child O' Mine",53475
"2023-12-26 07:45","Queen","Bohemian Rhapsody - Remastered 2011",368224
"2023-12-26 07:48","Eagles","Hotel California - 2013 Remaster",141337
"2023-12-26 07:48","The White Stripes","Seven Nation Army",71126
"2023-12-26 07:51","Led Zeppelin","Stairway to Heaven - Remaster",64188
"2023-12-26 07:52","Metallica","Whiskey In The Jar",206397
"2023-12-26 07:59","Led Zeppelin","Stairway to Heaven - Remaster",153549
"2023-12-26 08:03","The Police","Every Breath You Take",143734
"2023-12-26 08:07","Guns N' Roses","Knockin' On Heaven's Door",241950
"2023-12-26 08:39","Creedence Clearwater Revival","Have You Ever Seen The Rain",145663
"2023-12-26 08:43","John Mayer","Slow Dancing in a Burning Room",242000
"2023-12-26 08:45","John Mayer","Waiting On the World to Change",130769
"2023-12-26 08:46","AC/DC","Highway to Hell",61542
"2023-12-26 08:50","The Beatles","In My Life - Remastered 2009",146333
"2023-12-26 08:53","Billy Joel","Uptown Girl",197706
"2023-12-26 08:53","Billy Joel","We Didn't Start the Fire",8106
"2023-12-26 08:54","Guns N' Roses","Welcome To The Jungle",72323
"2023-12-26 08:55","Guns N' Roses","Nightrain",3856
"2023-12-26 09:00","Guns N' Roses","Don't Cry (Original)",64403
"2023-12-26 14:14","Guns N' Roses","November Rain",2644
"2023-12-26 14:37","Kings of Leon","Sex on Fire",152319
"2023-12-26 15:26","Prince","Purple Rain",138498
"2023-12-27 02:20","AC/DC","Back In Black",12355
"2023-12-27 02:24","Prince","Purple Rain",218526
"2023-12-27 02:24","Prince","Kiss",14257
"2023-12-27 02:28","Queen","I Was Born To Love You - 2011 Remaster",1285
"2023-12-27 02:28","Queen","Don't Stop Me Now - Remastered 2011",209413
"2023-12-27 02:30","Led Zeppelin","Whole Lotta Love - 1990 Remaster",143660
"2023-12-27 02:33","Led Zeppelin","Black Dog - Remaster",147991
"2023-12-27 02:35","Led Zeppelin","Immigrant Song - Remaster",146194
"2023-12-27 02:36","Led Zeppelin","Whole Lotta Love - 1990 Remaster",20719
"2023-12-27 02:36","Led Zeppelin","Black Dog - Remaster",1233
"2023-12-27 02:37","Led Zeppelin","Rock and Roll - Remaster",55707
"2023-12-27 02:40","Nirvana","The Man Who Sold The World - Live",221552
"2023-12-27 02:44","Pearl Jam","Even Flow",228573
"2023-12-27 02:46","Creedence Clearwater Revival","Have You Ever Seen The Rain",124691
"2023-12-27 02:56","Dire Straits","Sultans Of Swing",330965
"2023-12-27 03:02","Dire Straits","Romeo And Juliet",360653
"2023-12-27 03:24","Dire Straits","Brothers In Arms - Remastered 1996",141587
"2023-12-27 04:03","The Police","Every Breath You Take",106220
"2023-12-27 04:09","Queen","The Prophet's Song - Remastered 2011",192894
"2023-12-27 04:13","Pink Floyd","Hey You",278273
"2023-12-27 04:15","Pink Floyd","Is There Anybody Out There?",15630
"2023-12-27 04:18","Pink Floyd","Another Brick in the Wall, Pt. 1",192129
"2023-12-27 04:20","Pink Floyd","Another Brick in the Wall, Pt. 2",5503
"2023-12-27 04:20","Pink Floyd","The Happiest Days of Our Lives",18730
"2023-12-27 04:20","Pink Floyd","The Happiest Days of Our Lives",110801
"2023-12-27 04:24","Pink Floyd","Another Brick in the Wall, Pt. 2",184324
"2023-12-27 05:31","Pink Floyd","Mother",128406
"2023-12-27 11:40","Eagles","Tequila Sunrise - 2013 Remaster",173056
"2023-12-27 11:44","The Beatles","Let It Be - Remastered 2009",243026
"2023-12-27 12:07","AC/DC","Highway to Hell",208400
"2023-12-27 12:31","Nirvana","Polly - Live",50752
"2023-12-27 12:43","Nirvana","Heart-Shaped Box",281160
"2023-12-27 12:47","Chris Isaak","Wicked Game",284878
"2023-12-27 12:51","The Local Train","Choo Lo",233630
"2023-12-27 13:01","The Local Train","Dil Mere",7533
"2023-12-27 13:33","Siddharth","Maa Daddy Pockets",246310
"2023-12-27 13:38","Ankit Tiwari","Sunn Raha Hai (Male Version)",275951
"2023-12-27 13:38","Vijay Prakash","Hello Rammante",0
"2023-12-27 13:38","Yuvan Shankar Raja","Mandaara Poovalle",0
"2023-12-27 13:38","Devi Sri Prasad","Uppenantha",0
"2023-12-27 13:38","Devi Sri Prasad","Who Are You ?",0
"2023-12-27 13:38","Harris Jayaraj","Yedhane Koiyakae",970
"2023-12-27 13:38","The Local Train","Choo Lo",813
"2023-12-27 13:59","Mohit Chauhan","Saadda Haq",279210
"2023-12-27 14:05","Queen","We Are The Champions - Remastered 2011",238891
"2023-12-27 14:10","Guns N' Roses","Knockin' On Heaven's Door",6186
"2023-12-27 14:10","Steven Wilson","Drive Home",30243
"2023-12-27 14:10","Unnikrishnan","Sasivadane",30191
"2023-12-27 14:10","Pink Floyd","Have a Cigar",30013
"2023-12-27 14:19","Guns N' Roses","Knockin' On Heaven's Door",329995
"2023-12-27 18:46","Guns N' Roses","Get In The Ring",193784
"2023-12-27 18:48","Pink Floyd","The Happiest Days of Our Lives",110605
"2023-12-27 18:50","Pink Floyd","Another Brick in the Wall, Pt. 2",2904
"2023-12-27 18:50","Pink Floyd","Another Brick in the Wall, Pt. 1",440
"2023-12-27 18:50","Pink Floyd","The Happiest Days of Our Lives",241
"2023-12-27 18:50","Pink Floyd","The Happiest Days of Our Lives",39809
"2023-12-27 18:51","Pink Floyd","The Happiest Days of Our Lives",47736
"2023-12-27 18:55","Pink Floyd","Another Brick in the Wall, Pt. 2",238746
"2023-12-27 19:01","Pink Floyd","Mother",334893
"2023-12-27 19:03","Pink Floyd","Goodbye Blue Sky",135943
"2023-12-28 02:42","Queen","Love Of My Life - Remastered 2011",1530
"2023-12-28 02:42","The Beatles","Yesterday - Remastered 2009",1361
"2023-12-28 02:42","Lynyrd Skynyrd","Free Bird",924
"2023-12-28 02:42","AC/DC","Back In Black",3598
"2023-12-28 02:42","Pearl Jam","Alive",1972
"2023-12-28 02:46","Kings of Leon","Sex on Fire",203346
"2023-12-28 02:50","John Lennon","Beautiful Boy (Darling Boy) - Remastered 2010",232202
"2023-12-28 02:53","Dire Straits","Romeo And Juliet",169679
"2023-12-28 02:57","The Smiths","There Is a Light That Never Goes Out - 2011 Remaster",244586
"2023-12-28 03:01","Guns N' Roses","Don't Cry (Original)",276823
"2023-12-28 06:09","Guns N' Roses","Welcome To The Jungle",1116
"2023-12-28 06:13","Guns N' Roses","Nightrain",268213
"2023-12-28 06:19","Guns N' Roses","Sweet Child O' Mine",356066
"2023-12-28 06:20","Guns N' Roses","Out Ta Get Me",75089
"2023-12-28 06:23","The Beatles","Let It Be - Remastered 2009",22855
"2023-12-28 06:23","The Cure","Boys Don't Cry",155973
"2023-12-28 06:27","Lynyrd Skynyrd","I Need You",0
"2023-12-28 06:27","Queen","Don't Stop Me Now",209160
"2023-12-28 06:27","Coldplay","Fix You",0
"2023-12-28 06:27","The Who","Who Are You",26285
"2023-12-28 06:30","Lynyrd Skynyrd","I Need You",10356
"2023-12-28 06:30","Ozzy Osbourne","No More Tears",4781
"2023-12-28 06:30","Creedence Clearwater Revival","Have You Ever Seen The Rain",160126
"2023-12-28 06:35","Ozzy Osbourne","Crazy Train",293176
"2023-12-28 06:40","Ozzy Osbourne","Bark at the Moon",257120
"2023-12-28 06:43","Ozzy Osbourne","No More Tears",174311
"2023-12-28 07:17","Ozzy Osbourne","I Don't Wanna Stop",158762
"2023-12-28 11:35","Guns N' Roses","Sweet Child O' Mine",7837
"2023-12-28 11:36","Pink Floyd","The Happiest Days of Our Lives",40143
"2023-12-28 11:37","Pink Floyd","Another Brick in the Wall, Pt. 2",4397
